Class,Accuracy,Precision,Recall,F1
dishwasher,0.9792870164308802,0.8941571135906126,0.7820393407328445,0.8294679809038058
oven,0.988020871670089,0.866399379059583,0.7414417012169094,0.7927735578472532
washing_machine,0.9688993882203251,0.8510366503020734,0.9160983234956991,0.877216266893398
